commune_nom,INSEE,pop,donnesgeo,area,elevation,blason
Quiberon,56186,4741,Point(-3.120555555 47.483333333),8.83,15,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20quiberon.svg
Larré,56108,1040,Point(-2.516388888 47.711666666),17.02,83,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Larr%C3%A9%20%28Morbihan%29.svg
Priziac,56182,976,Point(-3.409444444 48.061388888),44.63,166,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Priziac%20%28Morbihan%29.svg
Priziac,56182,976,Point(-3.41667 48.06667),44.63,166,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Priziac%20%28Morbihan%29.svg
Pluherlin,56171,1528,Point(-2.36349 47.69632),35.4,62,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Pluherlin%20%28Morbihan%29.svg
Pluherlin,56171,1528,Point(-2.365 47.696111111),35.4,62,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Pluherlin%20%28Morbihan%29.svg
Riantec,56193,5622,Point(-3.310555555 47.710833333),14.06,5,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Riantec%20%28Morbihan%29.svg
Saint-Perreux,56232,1145,Point(-2.108055555 47.669166666),6.23,10,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Saint-Perreux%20%28Morbihan%29.svg
Saint-Guyomard,56219,1362,Point(-2.513611111 47.780833333),19.66,96,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Saint-Guyomard%20%28Morbihan%29.svg
La Trinité-Porhoët,56257,677,Point(-2.546666666 48.097222222),12.7,115,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20La%20Trinit%C3%A9-Porho%C3%ABt%20%28Morbihan%29.svg
Le Roc-Saint-André,56197,938,Point(-2.448888888 47.864722222),9.93,35,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Le%20Roc-Saint-Andr%C3%A9%20%28Morbihan%29.svg
